key,name,max.round,pct.first.serve.in,aces,double.faults,unforced.errors,1st.serve.win.pct,2nd.serve.win.pct,winners,receiving.pts.won,break.point.conv,net.approaches,total.points.won,fastest.serve.speed,ave.1st.serve.speed,ave.2nd.serve.speed,sets.played,tie.breaks.played,total.games,return.games.won,server.points.won,tournament,SPW.by.TG,RGW.by.TG,W.by.UE
wta311041,Tsvetana Pironkova,1,63,5,3,3,50,45,5,44,67,NA,94,NA,NA,NA,3,0,30,6,49,AUS.2013,1.633333333,0.2,1.666666667
wta311137,Yaroslava Shvedova,1,68,0,6,6,48,29,0,49,58,NA,102,NA,NA,NA,3,1,30,7,45,AUS.2013,1.5,0.233333333,0
wta311299,Karin Knapp,1,55,2,6,6,63,30,2,43,50,NA,93,NA,NA,NA,3,0,27,6,50,AUS.2013,1.851851852,0.222222222,0.333333333
wta311493,Silvia Soler-Espinosa,1,60,1,4,4,57,45,1,31,50,NA,62,NA,NA,NA,2,0,21,2,41,AUS.2013,1.952380952,0.095238095,0.25
wta311550,Vania King,1,62,1,2,25,48,45,14,33,67,50,42,94.448392,87.613311,70.836294,2,0,18,2,25,AUS.2013,1.388888889,0.111111111,0.56
wta311593,Johanna Larsson,1,59,NA,3,36,40,24,6,43,30,80,43,110.604038,95.069763,81.399601,2,0,16,NA,NA,AUS.2013,NA,NA,0.166666667
wta311810,Sesil Karatantcheva,1,51,1,6,19,68,30,6,31,0,14,48,101.904844,94.448392,83.885085,2,0,16,0,30,AUS.2013,1.875,0,0.315789474
wta311956,Alexandra Panova,1,71,2,3,3,57,44,2,48,43,NA,92,NA,NA,NA,3,0,26,6,49,AUS.2013,1.884615385,0.230769231,0.666666667
wta312049,Bojana Bobusic,1,80,2,1,41,45,23,17,33,100,36,40,100.040731,88.856053,76.428633,2,0,18,3,26,AUS.2013,1.444444444,0.166666667,0.414634146
wta312086,Marina Erakovic,1,60,1,17,17,69,29,1,41,73,NA,127,NA,NA,NA,3,1,43,8,74,AUS.2013,1.720930233,0.186046512,0.058823529
wta312336,Stefanie Voegele,1,52,3,3,3,59,41,3,45,35,NA,112,NA,NA,NA,3,0,32,7,61,AUS.2013,1.90625,0.21875,1
wta312520,Sabine Lisicki,1,62,5,3,57,63,30,45,44,38,61,76,120.545974,99.41936,83.263714,3,0,26,5,39,AUS.2013,1.5,0.192307692,0.789473684
wta312580,Magdalena Rybarikova,1,55,4,8,8,66,44,4,36,45,NA,142,NA,NA,NA,3,0,43,5,88,AUS.2013,2.046511628,0.11627907,0.5
wta312962,Anna Tatishvili,1,73,0,3,24,51,64,7,32,100,67,44,101.283473,88.856053,85.127827,2,0,18,1,28,AUS.2013,1.555555556,0.055555556,0.291666667
wta313131,Urszula Radwanska,1,70,2,NA,20,54,52,8,29,50,75,52,101.283473,93.20565,78.914117,2,0,18,1,37,AUS.2013,2.055555556,0.055555556,0.4
wta313215,Alexandra Cadantu,1,63,1,4,4,57,40,1,41,38,NA,78,NA,NA,NA,3,0,25,5,41,AUS.2013,1.64,0.2,0.25
wta313349,Arantxa Rus,1,54,0,14,14,50,35,0,43,21,NA,59,NA,NA,NA,2,0,18,3,24,AUS.2013,1.333333333,0.166666667,0
wta313485,Rebecca Marino,1,53,2,4,23,57,26,10,27,0,60,32,114.953635,106.875812,86.370569,2,0,15,NA,NA,AUS.2013,NA,NA,0.434782609
wta313617,Sacha Jones,1,63,3,6,6,58,44,3,22,0,NA,49,NA,NA,NA,2,0,17,0,38,AUS.2013,2.235294118,0,0.5
wta313711,Petra Martic,1,52,2,6,32,62,29,10,36,60,53,51,114.332264,95.691134,87.613311,2,0,19,3,33,AUS.2013,1.736842105,0.157894737,0.3125
wta313796,Anastasia Pavlyuchenkova,1,61,2,5,5,62,41,2,42,58,NA,93,NA,NA,NA,3,0,33,7,53,AUS.2013,1.606060606,0.212121212,0.4
wta313803,Olivia Rogowska,1,68,4,2,79,67,45,33,33,50,87,122,101.904844,90.720166,79.535488,3,0,38,3,78,AUS.2013,2.052631579,0.078947368,0.417721519
